	colon_polyA_3	colon_polyA_4	colon_polyA_1	colon_polyA_2	colon_total_3	colon_total_4	colon_total_1	colon_total_2	pbmc_polyA_3	pbmc_polyA_4	pbmc_polyA_1	pbmc_polyA_2	pbmc_total_3	pbmc_total_4	pbmc_total_1	pbmc_total_2
LMOD3	2734	2727	2858	3463	1100	1207	756	1120	3720	2729	4757	5880	608	1093	807	887
FRMD4B	56112	61900	57444	57543	61134	54691	53014	52865	27212	26038	27308	30080	25359	25125	26261	21834
MITF	34650	34067	33606	40527	47834	35799	38873	38582	6073	6000	7093	6882	5515	3161	3749	4379
MDFIC2	75	0	0	0	0	0	0	0	296	319	557	164	0	0	0	0
FOXP1	183342	177550	183530	197257	178854	155574	153715	157183	178501	178251	189192	181838	244402	214851	219003	220547
EIF4E3	95809	102653	109214	112759	214713	199680	188755	190391	256679	241351	254856	242806	268786	243827	257368	241023
GPR27	819	606	517	303	1666	1126	1187	1424	12418	12996	14605	14173	47877	46838	48935	43265
PROK2	223	377	451	148	757	374	289	528	68927	64526	74735	73985	347733	315017	307706	293593
RYBP	91291	87762	89330	90085	167589	152429	146780	138244	147091	141948	142201	140355	169765	182029	175181	167800
SHQ1	37394	37513	35351	36189	39597	36534	35006	38268	23602	21174	19066	18814	32781	32068	27025	32572
GXYLT2	10743	10795	11461	6764	3393	3900	3379	3988	5144	3596	1732	2990	286	1030	749	433
EBLN2	11078	11258	10497	12036	4451	5125	6149	4874	11694	11463	12847	10395	753	375	640	295
PPP4R2	283804	303833	268261	301357	260790	216716	216999	209521	119730	109555	100168	109108	70251	66951	58153	60626
PDZRN3	57697	55429	58906	53757	81990	82599	81901	83650	1856	1690	1977	2193	909	1136	528	678
CNTN3	2834	2919	2624	4053	3804	2715	3379	2946	1228	1054	1194	929	10	82	0	76
FRG2C	147	297	150	380	150	76	0	0	1166	902	462	457	0	0	0	0
ZNF717	24305	18089	20734	25035	14216	14905	13079	12446	13352	13210	14527	16693	10842	9741	9117	10597
ROBO2	967	639	1913	2159	1407	1285	1893	823	4248	4472	3967	4117	76	0	0	0
ROBO1	31419	25947	29427	27871	26993	24629	28042	23756	4750	4461	3255	2812	672	726	1640	978
GBE1	65785	66315	64419	64691	89613	77206	78678	75140	35641	32404	33747	35751	49060	50953	45407	47610
CADM2	4176	5184	4720	6297	7377	6457	5580	4532	3827	1899	2201	3378	448	227	76	816
VGLL3	21381	25384	21572	25571	22632	19830	15847	18263	2502	2281	2204	2290	76	0	151	0
CHMP2B	214045	211899	205012	236561	353879	282293	279424	277292	34341	31212	28027	27661	86781	83110	77248	77985
POU1F1	517	485	753	855	0	302	422	364	1691	1243	593	1074	116	201	264	76
HTR1F	228	76	148	76	0	0	0	76	751	828	1279	808	152	76	0	0
ZNF654	96825	103607	100678	111223	90934	74123	77233	74115	59277	53957	53347	51461	33940	31395	27334	29567
CGGBP1	226324	238638	234060	253182	390949	325865	308054	305529	223455	196625	204105	194942	213135	201211	208407	190350
C3orf38	69735	68584	67224	74640	72872	64798	64088	63239	44432	43976	47711	42948	49114	47561	50176	44407
CSNKA2IP	0	0	0	0	0	0	0	0	378	1340	1283	1385	0	0	0	0
EPHA3	22291	19833	20522	23113	18514	18036	15972	15143	1833	1409	1850	2297	380	369	285	75
PROS1	86411	85943	78391	87044	119440	103996	95299	97976	11761	8827	10341	8923	4724	6483	5485	4393
STX19	17599	15358	15915	18664	23932	18749	17077	14765	2374	1583	1166	2385	529	376	302	75
ARL13B	17085	18253	17082	18790	22342	16310	15957	14228	10135	8190	7828	8646	4120	3917	4812	3716
DHFR2	29247	29013	25430	26961	33412	27357	26923	24158	17328	14782	15283	17619	13326	13828	11723	12184
NSUN3	51390	53669	54324	47018	34995	31868	33190	32154	83471	75499	70489	75516	21532	24456	22463	21880
EPHA6	1898	1522	997	1649	799	332	662	750	1515	1542	1648	1404	0	76	76	0
ARL6	13490	12830	12801	14378	12827	12471	12415	11392	6628	5935	7992	7276	3696	4259	3465	3547
